country,LifeExpectancyBothUN,LifeExpectancyFemaleUN,LifeExpectancyMaleUN,LifeExpectancyBothWB,LifeExpectancyFemaleWB,LifeExpectancyMaleWB
Hong Kong,85.96,88.79,83.13,85,88,83
Macau,85.65,88.24,83.02,85,88,83
Liechtenstein,84.92,86.38,83.31,84,86,83
Switzerland,84.52,86.18,82.78,84,86,82
Norway,83.7,85.3,82.1,83,85,82
Iceland,83.1,84.53,81.71,83,85,82
Japan,85.08,88.1,82.05,84,88,81
South Korea,84.26,87.36,80.96,84,87,81
Singapore,84.39,86.55,82.28,83,86,81
Faroe Islands,79.25,81.02,77.69,83,86,81
Italy,84.35,86.27,82.3,83,85,81
Sweden,83.82,85.35,82.28,83,85,81
Australia,83.87,85.7,82.05,83,85,81
Malta,83.98,85.95,81.98,83,85,81
Israel,83.53,85.21,81.77,83,85,81
Canada,83.18,85.06,81.27,83,85,81
Luxembourg,82.89,85,80.84,83,85,81
New Zealand,83.3,85.57,81.25,82,84,81
Spain,84.19,86.81,81.5,83,86,80
Cayman Islands,75.88,78.45,73.55,82,85,80
Ireland,83.02,84.66,81.39,82,84,80
Belgium,82.61,84.61,80.55,82,84,80
Netherlands,82.71,84.13,81.25,81,83,80
Denmark,82.18,84.04,80.32,81,83,80
France,83.49,86.2,80.65,82,86,79
Finland,82.68,85.13,80.2,82,85,79
Austria,82.75,84.86,80.56,81,84,79
United Kingdom,82.45,84.09,80.78,81,83,79
Cyprus,82.21,83.94,80.44,81,83,79
Germany,82.34,84.57,80.09,81,83,79
Isle of Man,81.46,83.25,79.68,81,83,79
Maldives,81.3,82.27,80.54,80,81,79
Slovenia,82.47,84.88,80.07,81,84,78
Portugal,82.6,85.2,79.76,81,84,78
Greece,82.2,84.59,79.81,80,83,78
Qatar,81.9,83.4,81,79,81,78
Bahrain,80.85,82.07,79.85,79,80,78
United States Virgin Islands,76.23,81.82,70.95,80,84,77
French Polynesia,83.84,86.22,84.65,79,83,77
Gibraltar,83.18,84.96,81.38,79,82,77
Kuwait,80.63,83.06,79.29,79,81,77
United Arab Emirates,80.65,82.74,79.22,79,81,77
Puerto Rico,80.15,84.18,76.07,80,85,76
Bermuda,81.92,84.77,78.87,79,83,76
Chile,81.36,83.58,79.08,79,81,76
Antigua and Barbuda,79.6,81.96,76.91,78,81,76
Barbados,78.01,79.88,75.98,78,79,76
Saudi Arabia,78.29,79.93,77.07,77,79,76
New Caledonia,81.37,84.86,78,79,83,75
Thailand,80.13,84.24,76.02,79,83,75
Curacao,76.99,80.55,73.06,78,82,75
China,78.99,81.69,76.41,78,81,75
Algeria,77.54,78.89,76.25,76,78,75
Czech Republic,79.96,82.7,77.2,77,81,74
Costa Rica,80.47,82.84,78.15,77,80,74
Albania,80.27,82.48,78.22,76,79,74
United States,79.89,82.36,77.45,76,79,74
Guam,78.72,82.35,75.29,77,81,73
Croatia,79.57,82.28,76.8,76,80,73
Sri Lanka,77,80.55,73.27,76,80,73
Turkey,78.89,81.85,75.85,76,79,73
Bosnia and Herzegovina,78.03,80.01,76.01,75,78,73
Lebanon,79.92,81.64,77.95,75,77,73
Malaysia,76.58,79.11,74.28,75,77,73
Brunei,74.61,76.86,72.56,75,77,73
Estonia,79.48,83.25,75.42,77,81,72
Poland,78.76,82.39,75.09,76,80,72
Argentina,78.15,81.4,74.81,75,79,72
Uruguay,78.32,81.94,74.53,75,79,72
Grenada,75.65,78.61,72.9,75,78,72
North Macedonia,78.1,80.21,75.94,75,77,72
Aruba,77.07,79.77,74.12,75,77,72
Jordan,76.83,79.25,74.67,74,77,72
British Virgin Islands,76.7,79.56,73.96,74,77,72
Sint Maarten,76.17,79.45,73.27,74,77,72
Morocco,75.43,77.65,73.33,74,76,72
Greenland,72.85,76.22,70.35,71,73,72
Slovakia,78.52,81.74,75.24,75,78,71
Hungary,77.25,80.42,73.94,74,78,71
Nicaragua,74.98,77.91,78,74,77,71
Montenegro,77.95,80.97,74.8,74,77,71
Iran,77.17,80.03,74.5,74,77,71
Tunisia,77.16,80.37,74.1,74,77,71
Cuba,78.5,80.89,76.16,74,76,71
Palestine,76.12,78.23,73.94,73,76,71
Seychelles,75.21,79.54,71.54,73,76,71
North Korea,73.84,76.45,71.23,73,76,71
Oman,79.18,80.96,77.67,73,75,71
Bangladesh,74.27,76.59,72.04,72,74,71
Lithuania,77,81.28,72.54,74,79,70
Cape Verde,77.13,81.08,72.81,74,78,70
Ecuador,78.27,80.82,75.72,74,77,70
Mauritius,75.84,78.86,72.92,74,77,70
Serbia,77.54,80.39,74.47,73,76,70
Brazil,76.38,79.45,73.28,73,76,70
Trinidad and Tobago,75.03,78.46,71.64,73,76,70
Dominica,74.35,77.92,71.11,73,76,70
Samoa,72.9,75.67,70.42,73,76,70
Peru,77.14,79.44,74.88,72,75,70
Bhutan,72.75,74.73,71.03,72,74,70
Libya,73.44,76.73,70.41,72,74,70
Tajikistan,71.58,73.86,69.41,72,74,70
Vietnam,74.9,79.56,70.3,74,78,69
Latvia,76.2,80.32,71.83,73,78,69
Romania,77.33,80.86,73.77,73,77,69
Colombia,77.7,80.57,74.81,73,76,69
Dominican Republic,74.55,77.91,71.42,73,76,69
Syria,72.6,76.42,68.98,72,75,69
Solomon Islands,70.98,72.66,69.47,70,72,69
Kyrgyzstan,71.99,76.08,67.85,72,76,68
Bulgaria,75.91,79.41,72.5,72,75,68
Bahamas,74.63,78.1,71.03,72,75,68
Saint Kitts and Nevis,72.34,75.97,68.94,72,75,68
Saint Lucia,74.28,77.83,70.9,71,75,68
Tonga,71.55,74.44,68.79,71,74,68
Jamaica,72.51,74.77,70.25,71,73,68
Uzbekistan,71.89,74.57,69.2,71,73,68
Honduras,73.61,76.17,71.15,70,73,68
Egypt,72.2,74.69,69.79,70,73,68
Vanuatu,70.89,73.49,68.64,70,73,68
Iraq,72.16,74.17,70.01,70,72,68
Belarus,75.22,80.13,70.03,72,78,67
Armenia,76.41,80.49,71.35,72,77,67
Georgia,74.37,79.09,69.39,72,77,67
Mongolia,73.2,77.84,68.31,71,76,67
Micronesia,73.17,76.22,70.27,71,75,67
Belize,74.79,78.06,71.86,70,74,67
Suriname,72.92,76.38,69.54,70,74,67
Paraguay,74.22,77.09,71.48,70,73,67
Saint Vincent and the Grenadines,73.73,76.54,71.3,70,72,67
Cambodia,71.6,73.96,59.03,70,72,67
Philippines,72.4,74.46,70.38,69,71,67
Nepal,71.06,73,69.13,68,70,67
El Salvador,73.58,77.73,69.1,71,75,66
Venezuela,73.07,77.41,68.95,71,75,66
Mexico,75.23,78.54,71.96,70,75,66
Kazakhstan,72.16,75.92,68.1,70,74,66
Guatemala,74.01,76.73,71.25,69,73,66
Azerbaijan,73.73,76.53,70.77,69,73,66
Turkmenistan,69.67,73.21,66.15,69,73,66
Palau,65.72,69.69,62.53,69,72,66
Indonesia,71.24,73.45,69.07,68,70,66
Timor-Leste,69.56,71.37,67.89,68,70,66
Laos,69.54,71.75,67.43,68,70,66
India,72.29,73.94,70.75,67,69,66
Kiribati,67.99,69.78,66.02,67,69,66
Ukraine,75.45,80.23,70.19,70,74,65
Sao Tome and Principe,68.98,72.15,66.2,68,70,65
Senegal,70.17,72.69,67.48,67,69,65
Fiji,68.59,70.57,66.69,67,69,65
Panama,78.74,81.74,75.83,76,80,64
Russia,74.72,79.41,69.7,69,75,64
Moldova,71.64,76.27,67.03,69,74,64
Eritrea,68.73,70.85,71.11,67,69,64
Pakistan,67.48,69.89,65.2,66,69,64
Tanzania,68.13,70.37,65.94,66,68,64
Rwanda,67.56,69.73,65.2,66,68,64
Marshall Islands,65.42,67.4,63.75,65,67,64
Myanmar,67.66,70.9,64.56,66,69,63
Gabon,67.3,69.69,65.19,66,68,63
Sudan,66.43,69.03,63.87,65,68,63
Papua New Guinea,66.27,69.5,63.65,65,68,63
Mauritania,66.84,68.9,64.8,64,66,63
Guyana,69.95,73.5,66.49,66,69,62
Ethiopia,67.3,70.32,64.43,65,68,62
Madagascar,67.16,69.6,64.84,64,67,62
Ghana,65.64,67.84,63.48,64,66,62
Republic of the Congo,63.47,65.1,61.87,64,65,62
Tuvalu,65.23,69.75,61.5,65,69,61
Bolivia,68.99,71.7,66.4,64,67,61
Yemen,66.33,69.89,63.01,64,67,61
Comoros,65.27,67.6,63.12,63,66,61
Gambia,64.86,66.41,63.31,62,64,61
Togo,62.03,62.74,61.32,62,62,61
Nauru,64.36,68.19,60.83,64,67,60
Haiti,65.37,68.49,62.36,63,66,60
Uganda,64.05,66.15,61.8,63,65,60
Djibouti,64.26,66.82,61.78,62,65,60
Burundi,63.27,65.37,61.16,62,64,60
Niger,64.22,65.41,63.07,62,63,60
Malawi,65.37,69.16,61.59,63,66,59
South Africa,66.87,69.9,63.5,62,65,59
Afghanistan,65.05,68.19,62.07,62,65,59
Angola,63.43,65.97,60.9,62,64,59
Botswana,66.2,68.74,63.58,61,64,59
Kenya,64.1,66.52,61.74,61,64,59
Equatorial Guinea,62.46,64.49,60.71,61,63,59
Liberia,62.26,63.59,60.93,61,62,59
Cameroon,62.51,64.04,60.99,60,62,59
Sierra Leone,61.26,62.66,59.84,60,61,59
Zambia,63.64,66.35,60.86,61,64,58
Benin,61.41,62.92,59.9,60,61,58
Mali,60.84,62.13,59.6,59,60,58
Guinea,60.71,61.93,59.42,59,60,58
Guinea-Bissau,61.93,64,59.74,60,62,57
DR Congo,61.18,63.25,59.15,59,62,57
Burkina Faso,61.08,62.96,59.13,59,61,57
Ivory Coast,60.3,61.69,59.03,59,60,57
Namibia,64.11,67.64,60.38,59,63,56
Mozambique,62.64,65.44,59.73,59,62,56
Zimbabwe,62.08,64.5,59.32,59,62,56
Eswatini,61.64,65.45,58.04,57,61,53
Somalia,58.11,60.22,56.07,55,57,53
South Sudan,57.1,58.57,55.57,55,56,53
Central African Republic,56.1,58.22,54.05,54,56,52
Nigeria,54.11,54.5,53.71,53,53,52
Chad,54.12,55.84,52.45,53,54,51
Lesotho,55.1,81.64,52.29,53,56,50
Monaco,87.14,89.11,85.29,,,
San Marino,83.73,84.97,82.39,,,
Andorra,83.86,86.1,81.77,,,
Guernsey,83.1,84.69,81.46,,,
Martinique,83.6,86.21,80.6,,,
Reunion,82.95,85.64,80.15,,,
Guadeloupe,83.48,86.55,79.84,,,
Jersey,81.62,83.79,79.4,,,
Wallis and Futuna,80.29,81.25,79.3,,,
Falkland Islands,79.65,81.6,77.81,,,
Northern Mariana Islands,77.75,79.74,76.13,,,
French Guiana,77.8,80.63,75.13,,,
Mayotte,78.22,81.61,74.95,,,
Montserrat,76.16,77.87,74.79,,,
Tokelau,75.59,76.5,74.59,,,
Anguilla,77.83,81.45,74.54,,,
Saint Pierre and Miquelon,77.95,81.95,74.4,,,
Cook Islands,75.53,79.34,71.83,,,
American Samoa,73,75.84,70.22,,,
Western Sahara,71.39,73.58,69.69,,,
Niue,71.45,73.22,69.68,,,
